name,address,parent,event,time,meet,date,age,group,place
Riley Carter,415 Coastline Drive,Jordan Carter,50 Free,28.42,Spring Invitational,2026-03-14,11,Bronze,3
Riley Carter,415 Coastline Drive,Jordan Carter,100 Free,1:02.18,Spring Invitational,2026-03-14,11,Bronze,5
Riley Carter,415 Coastline Drive,Jordan Carter,50 Back,33.55,Hurricane Classic,2026-04-19,11,Bronze,2
Riley Carter,415 Coastline Drive,Jordan Carter,50 Free,27.91,Hurricane Classic,2026-04-19,11,Bronze,2
Riley Carter,415 Coastline Drive,Jordan Carter,100 Free,1:01.04,Hurricane Classic,2026-04-19,11,Bronze,4
Riley Carter,415 Coastline Drive,Jordan Carter,50 Free,27.55,League Championships,2026-05-17,11,Bronze,1
Riley Carter,415 Coastline Drive,Jordan Carter,100 Free,1:00.42,League Championships,2026-05-17,11,Bronze,2
Riley Carter,415 Coastline Drive,Jordan Carter,50 Back,32.88,League Championships,2026-05-17,11,Bronze,1
Mateo Rivera,82 Pine Ridge Lane,Sofia Rivera,50 Free,30.10,Spring Invitational,2026-03-14,10,Silver,7
Mateo Rivera,82 Pine Ridge Lane,Sofia Rivera,50 Breast,42.18,Spring Invitational,2026-03-14,10,Silver,4
Mateo Rivera,82 Pine Ridge Lane,Sofia Rivera,100 IM,1:20.55,Spring Invitational,2026-03-14,10,Silver,6
Mateo Rivera,82 Pine Ridge Lane,Sofia Rivera,50 Free,29.55,Hurricane Classic,2026-04-19,10,Silver,5
Mateo Rivera,82 Pine Ridge Lane,Sofia Rivera,100 IM,1:18.42,Hurricane Classic,2026-04-19,10,Silver,3
Mateo Rivera,82 Pine Ridge Lane,Sofia Rivera,50 Breast,41.20,Hurricane Classic,2026-04-19,10,Silver,2
Mateo Rivera,82 Pine Ridge Lane,Sofia Rivera,50 Free,28.95,League Championships,2026-05-17,10,Silver,3
Ava Thompson,127 Lakeshore Court,Marcus Thompson,50 Fly,35.20,Spring Invitational,2026-03-14,12,Gold,2
Ava Thompson,127 Lakeshore Court,Marcus Thompson,100 IM,1:14.30,Spring Invitational,2026-03-14,12,Gold,1
Ava Thompson,127 Lakeshore Court,Marcus Thompson,100 Free,1:00.85,Spring Invitational,2026-03-14,12,Gold,3
Ava Thompson,127 Lakeshore Court,Marcus Thompson,50 Fly,34.55,Hurricane Classic,2026-04-19,12,Gold,1
Ava Thompson,127 Lakeshore Court,Marcus Thompson,100 IM,1:13.50,Hurricane Classic,2026-04-19,12,Gold,1
Ava Thompson,127 Lakeshore Court,Marcus Thompson,200 Free,2:15.20,Hurricane Classic,2026-04-19,12,Gold,2
Ava Thompson,127 Lakeshore Court,Marcus Thompson,100 IM,1:12.40,League Championships,2026-05-17,12,Gold,1
Ava Thompson,127 Lakeshore Court,Marcus Thompson,50 Fly,33.85,League Championships,2026-05-17,12,Gold,1
Noah Patel,9 Beacon Hill Road,Priya Patel,50 Back,37.80,Spring Invitational,2026-03-14,9,Bronze,8
Noah Patel,9 Beacon Hill Road,Priya Patel,50 Free,32.15,Spring Invitational,2026-03-14,9,Bronze,9
Noah Patel,9 Beacon Hill Road,Priya Patel,50 Back,36.45,Hurricane Classic,2026-04-19,9,Bronze,6
Noah Patel,9 Beacon Hill Road,Priya Patel,50 Free,31.20,Hurricane Classic,2026-04-19,9,Bronze,7
Noah Patel,9 Beacon Hill Road,Priya Patel,50 Back,35.10,League Championships,2026-05-17,9,Bronze,5
Noah Patel,9 Beacon Hill Road,Priya Patel,50 Free,30.40,League Championships,2026-05-17,9,Bronze,6
Lila Chen,308 Cypress Way,David Chen,200 Free,2:25.60,Spring Invitational,2026-03-14,13,Gold,3
Lila Chen,308 Cypress Way,David Chen,100 Back,1:08.40,Spring Invitational,2026-03-14,13,Gold,2
Lila Chen,308 Cypress Way,David Chen,100 Fly,1:12.55,Spring Invitational,2026-03-14,13,Gold,4
Lila Chen,308 Cypress Way,David Chen,200 Free,2:23.90,Hurricane Classic,2026-04-19,13,Gold,2
Lila Chen,308 Cypress Way,David Chen,100 Back,1:07.10,Hurricane Classic,2026-04-19,13,Gold,1
Lila Chen,308 Cypress Way,David Chen,100 Fly,1:11.30,Hurricane Classic,2026-04-19,13,Gold,3
Lila Chen,308 Cypress Way,David Chen,200 Free,2:22.55,League Championships,2026-05-17,13,Gold,1
Lila Chen,308 Cypress Way,David Chen,100 Back,1:06.85,League Championships,2026-05-17,13,Gold,1
Ethan Brooks,544 Harborview Place,Hannah Brooks,50 Free,33.15,Spring Invitational,2026-03-14,8,Bronze,10
Ethan Brooks,544 Harborview Place,Hannah Brooks,25 Fly,18.40,Spring Invitational,2026-03-14,8,Bronze,5
Ethan Brooks,544 Harborview Place,Hannah Brooks,50 Free,32.10,Hurricane Classic,2026-04-19,8,Bronze,8
Ethan Brooks,544 Harborview Place,Hannah Brooks,25 Fly,17.80,Hurricane Classic,2026-04-19,8,Bronze,4
Ethan Brooks,544 Harborview Place,Hannah Brooks,50 Free,31.40,League Championships,2026-05-17,8,Bronze,7
